Matrix Size (n),FLOP/s
10,3.7037e+09
60,2.20701e+09
110,2.15174e+09
160,2.10462e+09
210,2.04622e+09
260,2.09255e+09
310,2.12564e+09
360,1.94604e+09
410,1.87294e+09
460,1.93737e+09
510,1.1763e+09
560,1.72421e+09
610,1.68604e+09
660,1.95112e+09
710,1.90513e+09
760,1.85639e+09
810,1.92149e+09
860,1.82515e+09
910,1.78524e+09
960,1.68384e+09
